2025-10-21 02:12:34.040; INFO; StreamPlugin; 11028; 26904] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {6CE1AADF-3810-423F-B869-F96873A786FF}(0), notice[Cmd]: 
2025-10-21 02:12:34.040; INFO; StreamPlugin; 11028; 26904] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {1E24CF7D-8CCF-4C4A-B83E-486183895FF8}(0), notice[Cmd]: 
2025-10-21 02:12:34.040; INFO; StreamPlugin; 11028; 26904] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {AC38FB2B-17FC-4DA1-A653-9C5B15134CB7}(0), notice[Cmd]: 
2025-10-21 02:12:34.040; INFO; StreamPlugin; 11028; 26904] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {371226A5-0A24-4AEC-8060-A19B3878A3D5}(0), notice[Cmd]: 
2025-10-21 02:12:34.040; INFO; StreamPlugin; 11028; 26904] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {E43C9C38-7DBD-4F80-82E9-B71B5C9F762E}(0), notice[Cmd]: 
2025-10-21 02:12:34.040; INFO; Core; 11028; 12964] ServiceCore::OnConnectionChanged, peer 2 is connected: 0
2025-10-21 02:12:34.041; INFO; GameLibraryPlugin; 11028; 12228] OnPowerChange: PBT_APMRESUMEAUTOMATIC
2025-10-21 02:12:34.041; INFO; StreamPlugin; 11028; 10772] Get power change PBT_APMRESUMEAUTOMATIC, try to reconnect to service
2025-10-21 02:12:34.089; WARNING; StreamPlugin; 11028; 28948] StreamPlugin::ConnectionHandler::ConnectionThread, failed to receive header
2025-10-21 02:12:34.089; INFO; StreamPlugin; 11028; 28948] StreamPlugin::ConnectionHandler::ConnectionThread, disconnected for peer: 0x08
2025-10-21 02:12:34.089; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {EC81AE0B-1BD6-4F55-973B-6D24462FA7A1}(0), notice[Cmd]: 
2025-10-21 02:12:34.090; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {6AD2878E-6F59-4F34-BEE4-3F5A994A006D}(0), notice[Cmd]: 
2025-10-21 02:12:34.090; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {AB5F014E-883D-470D-BC2D-127EF91E5611}(0), notice[Cmd]: 
2025-10-21 02:12:34.090; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {CAA66B71-14EB-4838-BCB8-B2D450EE1233}(0), notice[Cmd]: 
2025-10-21 02:12:34.090; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {A4F10A34-50E5-47AE-A791-350316488891}(0), notice[Cmd]: 
2025-10-21 02:12:34.090; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {DAE20473-AFC3-4A85-9752-5814127EE708}(0), notice[Cmd]: 
2025-10-21 02:12:34.090; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {8AF74945-AC76-46DE-BE0A-4E9F1BB9A66A}(0), notice[Cmd]: 
2025-10-21 02:12:34.090; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {BB94B9B5-F11B-4233-98BC-0E406D81A707}(0), notice[Cmd]: 
2025-10-21 02:12:34.090; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {96A0B670-086F-4378-9C3E-B7666BC2E8B0}(0), notice[Cmd]: 
2025-10-21 02:12:34.090; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {210FC4C0-065C-47E9-BC89-51071BBABFB0}(0), notice[Cmd]: 
2025-10-21 02:12:34.090; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {AAAF3325-0C47-4FCB-8975-C52BBC5A4A7A}(0), notice[Cmd]: 
2025-10-21 02:12:34.090; INFO; StreamPlugin; 11028; 28948] StreamPlugin::PostNotice, From StreamPlugin(0x04) to {0CA6B0F0-8978-4605-99E8-F922D5873F78}(0), notice[Cmd]: 
